No,Operasi,Volume (MB),Client Workers,Server Workers,Waktu Total (s),Throughput (Bps),Client Sukses,Client Gagal,Rata2 Waktu per Client
1,upload,10,1,1,0.06,183406304.94,1,0,0.05
2,upload,10,1,5,0.05,202697372.57,1,0,0.04
3,upload,10,1,50,0.05,205643998.89,1,0,0.04
4,upload,10,5,1,0.11,494844191.11,5,0,0.08
5,upload,10,5,5,0.1,536514632.75,5,0,0.07
6,upload,10,5,50,0.1,516989048.02,5,0,0.08
7,upload,10,50,1,1.31,400759677.69,50,0,0.69
8,upload,10,50,5,1.34,390063932.48,50,0,0.72
9,upload,10,50,50,3.51,149273587.39,50,0,1.41
10,upload,50,1,1,0.29,182673168.47,1,0,0.22
11,upload,50,1,5,0.29,181254513.23,1,0,0.22
12,upload,50,1,50,0.3,174290915.77,1,0,0.23
13,upload,50,5,1,0.65,401956580.29,5,0,0.36
14,upload,50,5,5,0.64,408154248.3,5,0,0.41
15,upload,50,5,50,5.6,46797187.85,5,0,0.42
16,upload,50,50,1,8.91,294326423.04,50,0,3.75
17,upload,50,50,5,13.01,201459239.83,50,0,6.51
18,upload,50,50,50,16.95,154687039.88,50,0,5.85
19,upload,100,1,1,13.5,7764580.6,1,0,0.58
20,upload,100,1,5,0.63,166482880.46,1,0,0.46
21,upload,100,1,50,0.63,167584593.93,1,0,0.46
22,upload,100,5,1,1.3,404849686.29,5,0,0.89
23,upload,100,5,5,1.52,345381494.96,5,0,0.89
24,upload,100,5,50,1.34,391117833.82,5,0,0.89
25,upload,100,50,1,37.58,139520313.14,50,0,19.69
26,upload,100,50,5,30.44,172218115.61,50,0,15.89
27,upload,100,50,50,37.46,139974117.45,50,0,26.58
28,download,10,1,1,0.05,203366588.26,1,0,0.05
29,download,10,1,5,0.05,222813382.4,1,0,0.05
30,download,10,1,50,0.04,245709158.47,1,0,0.04
31,download,10,5,1,0.07,725027614.57,5,0,0.07
32,download,10,5,5,0.07,717453362.94,5,0,0.07
33,download,10,5,50,0.09,603555217.05,5,0,0.08
34,download,10,50,1,1.01,518821595.1,50,0,0.62
35,download,10,50,5,6.81,77007025.79,50,0,4.43
36,download,10,50,50,1.08,486335263.81,50,0,0.58
37,download,50,1,1,0.23,230493501.97,1,0,0.23
38,download,50,1,5,0.23,227539224.55,1,0,0.23
39,download,50,1,50,0.23,230108079.08,1,0,0.23
40,download,50,5,1,0.39,666569038.29,5,0,0.38
41,download,50,5,5,0.41,642553371.85,5,0,0.39
42,download,50,5,50,0.43,612297742.17,5,0,0.42
43,download,50,50,1,6.3,416027403.63,50,0,4.33
44,download,50,50,5,4.51,580713198.99,50,0,2.72
45,download,50,50,50,5.1,514393330.02,50,0,3.29
46,download,100,1,1,0.4,265211926.76,1,0,0.39
47,download,100,1,5,0.44,238570076.16,1,0,0.44
48,download,100,1,50,0.45,235188772.61,1,0,0.45
49,download,100,5,1,0.81,647169364.57,5,0,0.79
50,download,100,5,5,0.82,639912623.47,5,0,0.81
51,download,100,5,50,0.81,645326394.23,5,0,0.8
52,download,100,50,1,8.22,637692104.32,50,0,4.99
53,download,100,50,5,8.4,624325625.6,50,0,5.14
54,download,100,50,50,17.14,305850381.02,50,0,8.41
